observation_name	taxonomic_affiliation	I_06	I_15	I_20	I_27	I_34	I_42	I_48	II_06	II_13	II_22	II_27	II_34	II_41	II_48	III_06	III_13	III_20	III_27	III_34	IV_06	IV_13	IV_20	IV_27	IV_34	IV_41	IV_48	IV_55	sum
Cluster_1	Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Spirochaetaceae;Sphaerochaeta;unknown species	290	479	1246	436	481	1290	679	1742	2427	3191	2588	5696	4487	5039	5007	3126	5700	2457	9229	1697	3894	3608	2022	2555	3533	10529	7404	90832
Cluster_2	Bacteria;Cloacimonadota;Cloacimonadia;Cloacimonadales;Cloacimonadaceae;W5;unknown species	29	103	189	88	141	487	332	325	201	120	219	743	1662	3313	3316	2415	5661	4396	10217	462	1200	1194	1434	1166	2333	2661	2260	46667
Cluster_3	Bacteria;Cloacimonadota;Cloacimonadia;Cloacimonadales;Cloacimonadaceae;Candidatus Cloacimonas;unknown species	62	190	457	267	333	1593	691	1222	2119	2648	2622	4792	2369	2480	1566	568	1505	269	1746	843	2070	1287	1953	1334	2873	3093	3073	44025
Cluster_4	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Rikenellaceae RC9 gut group;unknown species	5	46	364	440	644	1902	813	1258	1587	1245	1097	2376	1987	2445	1482	1490	3420	2283	4475	2429	4200	3346	5693	4653	5719	4145	3852	63396
Cluster_5	Bacteria;Cloacimonadota;Cloacimonadia;Cloacimonadales;Cloacimonadaceae;W5;unknown species	21	91	190	100	159	427	311	271	157	125	205	722	1568	3076	3168	2437	5358	4110	9813	397	1225	1140	1369	1165	2356	2770	2191	44922
Cluster_6	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium sensu stricto 1;unknown species	291	1025	2552	2839	3961	3861	1880	1345	672	511	248	454	252	441	338	185	691	601	921	980	1701	1439	2286	958	1681	1766	1997	35876
Cluster_7	Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;ADurb.Bin120;Brevefilum fermentans	1254	2002	6855	2109	1343	3292	802	735	336	422	197	505	378	522	539	238	670	410	1404	1409	2238	2054	2522	1374	1472	3211	3055	41348
Cluster_9	Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Spirochaetaceae;Sphaerochaeta;unknown species	169	205	407	87	118	190	122	446	572	861	645	1401	1027	1127	889	644	959	402	1507	174	431	269	192	179	118	253	268	13662
Cluster_10	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Dysgonomonadaceae;Fermentimonas;Fermentimonas caenicola	59	167	613	324	608	3261	1219	1478	1004	199	138	497	542	374	380	360	698	454	2451	453	716	695	539	118	101	159	146	17753
Cluster_11	Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;ST-12K33;unknown genus;metagenome	2570	1738	8012	2370	2035	7970	2364	1395	1264	557	252	88	48	53	159	106	196	160	294	1255	791	487	102	110	245	496	264	35381
Cluster_12	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Multi-affiliation;Multi-affiliation	194	1089	3102	1662	595	1432	614	361	171	75	52	86	49	55	54	49	100	43	186	143	230	228	91	68	63	145	204	11141
Cluster_13	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Dysgonomonadaceae;Proteiniphilum;Multi-affiliation	1563	2431	3729	1309	1029	2228	817	788	602	350	329	907	870	902	949	711	1748	844	3831	624	771	913	432	147	296	375	487	29982
Cluster_15	Bacteria;Firmicutes;Syntrophomonadia;Syntrophomonadales;Syntrophomonadaceae;Syntrophomonas;unknown species	13	135	1092	795	723	1051	500	400	260	204	169	241	142	137	263	450	1386	784	2536	1074	1400	808	581	357	818	1830	733	18882
Cluster_16	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;DMER64;Rikenellaceae bacterium DTU002	192	960	2214	1171	898	1940	776	483	249	129	72	166	91	119	88	73	155	65	306	159	163	179	52	37	29	111	105	10982
Cluster_17	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Dysgonomonadaceae;Proteiniphilum;unknown species	460	716	1530	704	604	1298	544	570	433	216	232	590	622	565	602	435	1175	577	2498	398	497	571	328	96	209	244	317	17031
Cluster_18	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prolixibacteraceae;unknown genus;unknown species	1269	1254	2115	655	683	1299	624	1509	2109	2074	2010	4964	3985	129	50	5	48	10	42	798	1207	992	513	452	184	75	32	29087
Cluster_19	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidales UCG-001;unknown genus;unknown species	178	250	277	347	353	858	231	215	281	233	146	286	149	220	303	156	372	216	582	173	361	413	241	95	204	441	289	7870
Cluster_20	Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Multi-affiliation;Multi-affiliation	78	237	508	393	500	763	274	225	166	119	55	144	81	151	150	59	148	173	266	218	402	338	389	158	260	255	253	6763
Cluster_21	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Dysgonomonadaceae;Fermentimonas;unknown species	9	103	145	79	120	284	110	138	152	85	35	53	25	21	21	7	31	10	18	59	107	141	202	153	235	742	785	3870
Cluster_22	Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Turicibacter;Multi-affiliation	93	232	683	561	776	815	413	309	187	174	91	217	93	149	144	81	192	128	275	277	444	379	599	251	408	677	687	9335
